StartDate,EndDate,id,ResponseId,gender,age_group,religiosity,service_domain,entity,order,word,direction_coded,direction_coded_manual,direction_coded_new,sociability,morality,ability,assertiveness,status,beliefs,other,erase,S_Friendly,S_Sociable,S_Trustworthy,S_Honest,S_Competent,S_Skilled,S_Confident,S_Assertive,S_Traditional,S_Conservative,S_Wealthy,S_High_Status,S_Society_Perception,S_Personal_perception,S_Acquaintance,index_Sociability,index_Morality,index_Ability,index_Assertiveness,index_Belief,index_Status,index_Warmth,index_Competence,religion,region,children,education,income,social_status,general_ideology_view,social_ideology,sector_of_employment,work_experience_in_public_sector,years_of_work_in_public_sector,field_of_work,self_identification,born_in_Israel,country_of_birth,manualDirection_pos1negnue0
2023-08-10T21:43:54Z,2023-08-10T21:56:34Z,7,R_1OOBmOCv3Paba5J,גבר,55-64,חילוני,1. General (Public sector),Public sector employees,1,בטלנים,שלילי,NA,Negative,0,0,0,1,0,0,0,0,2,1,2,2,1,1,4,1,1,3,1,1,2,2,NA,1.5,2,1,2.5,2,1,1.75,1.75,1,4,NA,8,2,2,4,4,NA,1,30,תקשורת,3,1,,0
2023-08-10T21:43:54Z,2023-08-10T21:56:34Z,7,R_1OOBmOCv3Paba5J,גבר,55-64,חילוני,1. General (Public sector),Public sector employees,2,עצלנים,שלילי,NA,Negative,0,0,0,1,0,0,0,0,2,1,2,2,1,1,4,1,1,3,1,1,2,2,NA,1.5,2,1,2.5,2,1,1.75,1.75,1,4,NA,8,2,2,4,4,NA,1,30,תקשורת,3,1,,0
2023-08-10T21:43:54Z,2023-08-10T21:56:34Z,7,R_1OOBmOCv3Paba5J,גבר,55-64,חילוני,1. General (Public sector),Public sector employees,3,לא אדיבים,שלילי,NA,Negative,1,0,0,0,0,0,0,0,2,1,2,2,1,1,4,1,1,3,1,1,2,2,NA,1.5,2,1,2.5,2,1,1.75,1.75,1,4,NA,8,2,2,4,4,NA,1,30,תקשורת,3,1,,0
2023-08-10T21:43:54Z,2023-08-10T21:56:34Z,7,R_1OOBmOCv3Paba5J,גבר,55-64,חילוני,1. General (Public sector),Public sector employees,4,חסרי תודעת שירות,שלילי,NA,Negative,1,0,1,0,0,0,0,0,2,1,2,2,1,1,4,1,1,3,1,1,2,2,NA,1.5,2,1,2.5,2,1,1.75,1.75,1,4,NA,8,2,2,4,4,NA,1,30,תקשורת,3,1,,0
2023-08-12T16:36:10Z,2023-08-12T16:49:48Z,12,R_2WDamuDfMEmGbpY,אישה,45-54,חילוני,1. General (Public sector),Public sector employees,1,מרוויחים קצת,שלילי,NA,Negative,0,0,0,0,1,0,0,0,3,3,3,4,4,4,4,2,3,3,2,4,3,4,NA,3,3.5,4,3,3,3,3.25,3.5,1,5,NA,8,1,2,4,4,NA,2,,,6,1,,0
2023-08-12T16:36:10Z,2023-08-12T16:49:48Z,12,R_2WDamuDfMEmGbpY,אישה,45-54,חילוני,1. General (Public sector),Public sector employees,2,בלי תנאים,שלילי,NA,Negative,0,0,0,0,1,0,0,0,3,3,3,4,4,4,4,2,3,3,2,4,3,4,NA,3,3.5,4,3,3,3,3.25,3.5,1,5,NA,8,1,2,4,4,NA,2,,,6,1,,0
2023-08-12T16:36:10Z,2023-08-12T16:49:48Z,12,R_2WDamuDfMEmGbpY,אישה,45-54,חילוני,1. General (Public sector),Public sector employees,3,שירותיים,חיובי,NA,Positive,1,0,0,0,0,0,0,0,3,3,3,4,4,4,4,2,3,3,2,4,3,4,NA,3,3.5,4,3,3,3,3.25,3.5,1,5,NA,8,1,2,4,4,NA,2,,,6,1,,1
2023-08-12T16:36:10Z,2023-08-12T16:49:48Z,12,R_2WDamuDfMEmGbpY,אישה,45-54,חילוני,1. General (Public sector),Public sector employees,4,איכפתיים,חיובי,NA,Positive,0,1,0,0,0,0,0,0,3,3,3,4,4,4,4,2,3,3,2,4,3,4,NA,3,3.5,4,3,3,3,3.25,3.5,1,5,NA,8,1,2,4,4,NA,2,,,6,1,,1
2023-08-12T18:06:37Z,2023-08-12T18:14:59Z,13,R_2VKMetJAnVi6gYW,אישה,45-54,חילוני,1. General (Public sector),Public sector employees,1,פקיד,ניטרלי,NA,Neutral,0,0,0,0,0,0,1,2,2,2,3,3,3,2,3,2,3,3,3,2,2,3,NA,2,3,2.5,2.5,3,2.5,2.5,2.5,1,4,NA,8,4,3,6,6,NA,1,,,1,1,,0
2023-08-12T18:06:37Z,2023-08-12T18:14:59Z,13,R_2VKMetJAnVi6gYW,אישה,45-54,חילוני,1. General (Public sector),Public sector employees,2,הסתדרות,ניטרלי,NA,Neutral,0,0,0,0,1,0,1,0,2,2,3,3,3,2,3,2,3,3,3,2,2,3,NA,2,3,2.5,2.5,3,2.5,2.5,2.5,1,4,NA,8,4,3,6,6,NA,1,,,1,1,,0
2023-08-12T18:06:37Z,2023-08-12T18:14:59Z,13,R_2VKMetJAnVi6gYW,אישה,45-54,חילוני,1. General (Public sector),Public sector employees,3,ועד עובדים,ניטרלי,NA,Neutral,0,0,0,0,1,0,1,0,2,2,3,3,3,2,3,2,3,3,3,2,2,3,NA,2,3,2.5,2.5,3,2.5,2.5,2.5,1,4,NA,8,4,3,6,6,NA,1,,,1,1,,0
2023-08-12T18:06:37Z,2023-08-12T18:14:59Z,13,R_2VKMetJAnVi6gYW,אישה,45-54,חילוני,1. General (Public sector),Public sector employees,4,שביתה,שלילי,NA,Negative,0,0,0,0,1,0,1,0,2,2,3,3,3,2,3,2,3,3,3,2,2,3,NA,2,3,2.5,2.5,3,2.5,2.5,2.5,1,4,NA,8,4,3,6,6,NA,1,,,1,1,,0
2023-08-14T12:39:08Z,2023-08-14T12:51:59Z,16,R_exm8O4DuyHew9KV,גבר,25-34,"מסורתי, לא כל כך דתי",1. General (Public sector),Public sector employees,1,לא מוערכים,שלילי,NA,Negative,0,0,0,0,1,0,0,0,4,4,4,4,4,4,3,3,4,4,3,4,3,4,NA,4,4,4,3,4,3.5,4,3.5,1,4,NA,6,3,3,3,1,NA,1,3 שנים,"עובדי צה""ל",2,1,,0
2023-08-14T12:39:08Z,2023-08-14T12:51:59Z,16,R_exm8O4DuyHew9KV,גבר,25-34,"מסורתי, לא כל כך דתי",1. General (Public sector),Public sector employees,2,זקוקים לשינוי,ניטרלי,NA,Neutral,0,0,1,0,0,0,0,0,4,4,4,4,4,4,3,3,4,4,3,4,3,4,NA,4,4,4,3,4,3.5,4,3.5,1,4,NA,6,3,3,3,1,NA,1,3 שנים,"עובדי צה""ל",2,1,,0
